Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
main,1000,706,2,8605,1427.42,13.300%,20.18326,161.15,3.56,8175.9
login,1000,5,0,162,17.10,0.000%,21.37026,110.13,4.03,5276.9
doLogin,1000,653,4,16291,1202.37,3.200%,21.38168,175.60,13.39,8409.9
postList,1000,895,14,24875,1694.95,10.500%,21.40228,424.64,4.35,20316.9
postForm,1000,448,1,5022,544.18,2.900%,21.65393,199.39,5.18,9428.9
insertPostForm,1000,752,1,12643,923.93,4.400%,21.91205,146.60,12.44,6850.8
search(post_title),1000,751,23,18525,1296.47,5.300%,22.16066,467.15,5.39,21586.1
doLogout,1000,245,1,9745,588.95,7.200%,22.37387,176.55,10.14,8080.4
TOTAL,8000,557,0,24875,1127.47,5.850%,161.12790,1733.34,54.34,11015.7
