Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
main,2000,465,2,11210,1389.98,0.000%,46.63527,404.41,8.35,8880.0
login,1000,6,0,388,22.96,0.000%,24.84102,128.01,4.68,5277.0
doLogin,1000,483,5,5476,328.58,0.000%,24.84966,222.36,16.14,9163.0
postList,1000,576,13,6600,378.85,0.000%,24.93268,542.75,5.06,22291.0
postForm,1000,466,4,7173,476.14,0.000%,25.27103,256.73,5.31,10403.0
insertPostForm,1000,775,9,7086,503.82,0.000%,25.34661,180.40,14.28,7287.9
search(post_title),1000,584,24,5306,383.38,0.000%,25.69703,567.29,6.25,22606.0
doLogout,1000,207,4,5814,296.80,0.000%,25.92151,228.43,11.72,9024.0
TOTAL,9000,447,0,11210,762.21,0.000%,209.85870,2363.91,66.87,11534.6
