Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
main,2000,521,2,10735,1317.78,9.450%,40.29821,329.66,7.22,8376.9
login,1000,7,0,908,46.83,0.000%,21.22737,109.39,4.00,5277.0
doLogin,1000,554,4,10380,619.25,4.600%,21.23187,176.24,13.44,8499.9
postList,1000,845,11,12584,1212.66,9.900%,21.25986,424.20,4.32,20431.7
postForm,1000,439,1,4936,444.52,2.500%,21.33925,201.62,4.93,9675.0
insertPostForm,1000,767,1,7907,722.69,5.100%,21.41695,144.56,12.21,6911.6
search(post_title),1000,655,21,12377,792.95,5.600%,21.95920,461.75,5.34,21532.1
doLogout,1000,251,1,7574,494.40,5.100%,22.00704,179.46,9.97,8350.2
TOTAL,9000,507,0,12584,909.78,5.744%,181.34193,1917.14,58.03,10825.7
