Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
main,2000,339,2,8000,1076.90,0.000%,67.82880,588.20,12.14,8880.0
login,1000,3,0,108,7.59,0.000%,36.88540,190.08,6.95,5277.0
doLogin,1000,324,5,5236,365.55,0.000%,36.87588,329.97,23.95,9163.0
postList,1000,372,22,4766,339.38,0.000%,37.01236,805.71,7.52,22291.0
postForm,1000,327,6,5526,505.53,0.000%,37.42515,380.21,7.86,10403.0
insertPostForm,1000,482,10,2998,291.96,0.000%,37.49531,266.88,21.13,7288.6
search(post_title),1000,366,17,4694,255.01,0.000%,37.91901,837.11,9.22,22606.0
doLogout,1000,134,4,1247,121.42,0.000%,38.32152,337.71,17.33,9024.0
TOTAL,9000,298,0,8000,591.76,0.000%,305.22960,3438.22,97.26,11534.7
